"SAMPLE_ID","OurLabID","NMNH.ID","Genus","Species","Subspecies","State","decimalLatitude","decimalLongitude"
"X34","G-27666",338093,"Diphylla","ecaudata","",NA,7.8681713,-77.8367282
"X35","G-27667",338094,"Diphylla","ecaudata","",NA,7.8681713,-77.8367282
"X1","G-27633",388858,"Trachops","cirrhosus","cirrhosus",NA,2.8101413,-65.0957792
"X2","G-27634",388859,"Trachops","cirrhosus","cirrhosus",NA,2.8101413,-65.0957792
"X3","G-27635",388860,"Trachops","cirrhosus","cirrhosus",NA,2.8101413,-65.0957792
"X4","G-27636",388861,"Trachops","cirrhosus","cirrhosus",NA,2.8101413,-65.0957792
"X5","G-27637",388862,"Trachops","cirrhosus","cirrhosus",NA,2.8101413,-65.0957792
"X6","G-27638",335159,"Vampyrum","spectrum","",NA,9.5846022,-82.8075032
"X7","G-27639",335160,"Vampyrum","spectrum","",NA,9.5846022,-82.8075032
"X8","G-27640",335161,"Vampyrum","spectrum","",NA,9.5846022,-82.8075032
"X9","G-27641",335162,"Vampyrum","spectrum","",NA,9.2344395,-78.192625
"X10","G-27642",335163,"Vampyrum","spectrum","",NA,9.2344395,-78.192625
"X11","G-27643",291725,"Myotis","vivesi","",NA,30.8406338,-115.2837585
"X12","G-27644",291726,"Myotis","vivesi","",NA,30.8406338,-115.2837585
"X13","G-27645",291727,"Myotis","vivesi","",NA,30.8406338,-115.2837585
"X14","G-27646",291728,"Myotis","vivesi","",NA,30.8406338,-115.2837585
"X15","G-27647",291729,"Myotis","vivesi","",NA,30.8406338,-115.2837585
"X16","G-27648",314258,"Desmodus","rotundus","",NA,8.8729633,-82.5834947
"X17","G-27649",314259,"Desmodus","rotundus","",NA,8.8729633,-82.5834947
"X18","G-27650",314260,"Desmodus","rotundus","",NA,8.8729633,-82.5834947
"X19","G-27651",314261,"Desmodus","rotundus","",NA,8.8729633,-82.5834947
"X20","G-27652",314262,"Desmodus","rotundus","",NA,8.8729633,-82.5834947
"X21","G-27653",370642,"Artibeus","jamaicensis","",NA,9.3191109,-70.6032995
"X22","G-27654",370643,"Artibeus","jamaicensis","",NA,9.3191109,-70.6032995
"X23","G-27655",370644,"Artibeus","jamaicensis","",NA,9.3191109,-70.6032995
"X24","G-27656",370645,"Artibeus","jamaicensis","",NA,9.3191109,-70.6032995
"X25","G-27657",370646,"Artibeus","jamaicensis","",NA,9.3191109,-70.6032995
"X26","G-27658",564664,"Glossophaga","soricina","handleyi",NA,14.3009389,-90.7882163
"X27","G-27659",564665,"Glossophaga","soricina","handleyi",NA,14.3009389,-90.7882163
"X28","G-27660",564666,"Glossophaga","soricina","handleyi",NA,14.3009389,-90.7882163
"X29","G-27661",564667,"Glossophaga","soricina","handleyi",NA,14.3009389,-90.7882163
"X30","G-27662",564669,"Glossophaga","soricina","handleyi",NA,14.3009389,-90.7882163
"X31","G-27663",338090,"Diphylla","ecaudata","",NA,7.8681713,-77.8367282
"X32","G-27664",338091,"Diphylla","ecaudata","",NA,7.8681713,-77.8367282
"X33","G-27665",338092,"Diphylla","ecaudata","",NA,7.8681713,-77.8367282
"X521","G-27440",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X704","G-27441",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X706","G-27442",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X544","G-27443",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X522","G-27444",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X503","G-27445",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X539","G-27447",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X705","G-27448",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X501","G-27450",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X702","G-27452",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X534","G-27453",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X542","G-27454",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X532","G-27455",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X713","G-27457",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X701","G-27460",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X500","G-27465",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X505","G-27466",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X711","G-27467",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X707","G-27468",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X550","G-27471",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
"X710","G-27472",NA,"Lasionycterus","noctivagans","","IN",40.2671941,-86.1349019
"X541","G-27473",NA,"Lasiurus","cinereus","","IN",40.2671941,-86.1349019
