"SAMPLE_ID","OurLabID","d13C","perC","d15N","perN","Amount..mg.","Diet","SpeciesCode","Binomial","Vial.ID","IRMS.SAMPLE.ID","SAMPLE.DESCRIPTION","Ala","Gly","Val","Leu","Ile","Pro","Ser","Glu","Phe","TP"
"X34","G-27666",-21.87,43.45,8.85,15.51,1.198,"Sanguivorous","DIEC","Diphylla ecaudata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X35","G-27667",-22.08,43.12,8.44,15.97,1.162,"Sanguivorous","DIEC","Diphylla ecaudata","I2","","",14.2,11.9,20.7,NA,NA,22.1,NA,20,11.6,3.2
"X1","G-27633",-23.28,45.19,10.93,16.04,1.15,"Carnivorous","TRCI","Trachops cirrhosus","G3","","",NA,5.1,12.6,NA,NA,19,NA,13.7,2.3,3.6
"X2","G-27634",-23.35,45.76,11.53,15.98,1.723,"Carnivorous","TRCI","Trachops cirrhosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X3","G-27635",-23.23,44.33,12.58,16.08,0.911,"Carnivorous","TRCI","Trachops cirrhosus","G4","","",NA,7.3,14,11.7,11,23.4,NA,19.3,8.1,3.6
"X4","G-27636",-23.48,44.7,10.92,15.63,0.975,"Carnivorous","TRCI","Trachops cirrhosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X5","G-27637",-23.64,44.71,10.61,15.75,0.887,"Carnivorous","TRCI","Trachops cirrhosus","H7","","",NA,7.7,NA,NA,NA,NA,NA,17.3,7.1,3.5
"X6","G-27638",-21.24,43.91,12.48,16.26,0.855,"Carnivorous","VASP","Vampyrum spectrum","12","160728-06","MAX  VASP",NA,11.6,18.4,6.8,15.1,NA,10,20.9,10.1,3.5
"X7","G-27639",-21.87,43.94,12.28,16.02,0.894,"Carnivorous","VASP","Vampyrum spectrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X8","G-27640",-22.14,43.86,12.36,16.33,1.214,"Carnivorous","VASP","Vampyrum spectrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X9","G-27641",-22.18,43.65,10.26,15.33,0.901,"Carnivorous","VASP","Vampyrum spectrum","15","160728-09","MIN  VASP",12.1,11.8,15.6,5.6,12.9,18.9,8.4,18,6.5,3.6
